epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1115.89,0.89242,1.19669,0.59989,0.98746,0.74318,0.66775,0.68308,0.51541,0.71744,0.64592,0.64147,0.48235,1.45338,2.42115,1.28851,1.16292,0.000742815,0.000742815,0.000742815
86,1128.87,0.88989,1.15586,0.59562,0.98255,0.85022,0.59316,0.67897,0.51716,0.83742,0.58708,0.64857,0.4881,1.45592,2.45882,1.35778,1.17557,0.000731813,0.000731813,0.000731813
87,1141.59,0.85981,1.11549,0.5863,0.97947,0.85549,0.59107,0.67579,0.51874,0.84058,0.57888,0.64169,0.48543,1.45345,2.63614,1.28741,1.17183,0.000720811,0.000720811,0.000720811
88,1154.55,0.87326,1.17877,0.58106,0.9791,0.80854,0.63391,0.68064,0.52202,0.8023,0.62243,0.65374,0.49717,1.46619,2.39531,1.33077,1.17116,0.000709809,0.000709809,0.000709809
89,1167.12,0.87615,1.14224,0.58877,0.98055,0.78422,0.613,0.67817,0.51568,0.76191,0.59489,0.63653,0.48709,1.47699,2.45482,1.32084,1.18942,0.000698806,0.000698806,0.000698806
90,1180.57,0.87037,1.14283,0.58728,0.97777,0.80584,0.64166,0.70059,0.5255,0.80145,0.6047,0.65794,0.48766,1.47163,2.40721,1.26358,1.1849,0.000687804,0.000687804,0.000687804
91,1193.58,0.86728,1.11922,0.58624,0.97956,0.83151,0.60131,0.6581,0.50374,0.81462,0.58936,0.62452,0.47577,1.46801,2.709,1.50182,1.18257,0.000676802,0.000676802,0.000676802
92,1206.58,0.83699,1.10685,0.56746,0.96553,0.75126,0.62023,0.68326,0.51427,0.73402,0.60124,0.64122,0.47877,1.45242,2.48538,1.20961,1.17418,0.0006658,0.0006658,0.0006658
93,1219.58,0.86059,1.14374,0.57796,0.97328,0.74689,0.68865,0.70928,0.53849,0.74517,0.65046,0.66152,0.49639,1.44365,2.55354,1.18233,1.16604,0.000654798,0.000654798,0.000654798
94,1232.34,0.86804,1.1506,0.57928,0.97282,0.85464,0.57123,0.68583,0.51539,0.85589,0.55603,0.64396,0.47999,1.50559,2.57424,1.28248,1.20485,0.000643795,0.000643795,0.000643795
95,1245.58,0.85193,1.11983,0.57168,0.97285,0.75733,0.59774,0.67918,0.51085,0.7816,0.57764,0.6441,0.47669,1.50153,2.59777,1.36551,1.20973,0.000632793,0.000632793,0.000632793
96,1258.13,0.8473,1.10897,0.57088,0.97424,0.79523,0.59115,0.66918,0.50892,0.78463,0.58776,0.64393,0.48605,1.47534,2.47283,1.31409,1.1899,0.000621791,0.000621791,0.000621791
97,1271.59,0.84542,1.10474,0.57537,0.97181,0.82039,0.61593,0.68744,0.51887,0.79386,0.5992,0.64319,0.48356,1.4512,2.4736,1.30705,1.16529,0.000610789,0.000610789,0.000610789
98,1284.14,0.84711,1.11852,0.56282,0.97317,0.78065,0.64422,0.69323,0.51738,0.76215,0.6255,0.65115,0.48167,1.47494,2.51276,1.29631,1.18409,0.000599787,0.000599787,0.000599787
99,1297.13,0.86014,1.12861,0.57004,0.9775,0.80847,0.60685,0.66217,0.50654,0.78233,0.59046,0.6255,0.4783,1.45941,2.59716,1.38271,1.16058,0.000588784,0.000588784,0.000588784
100,1312.51,0.82777,1.09477,0.55149,0.96932,0.76811,0.64304,0.68537,0.51674,0.77656,0.61035,0.64999,0.48849,1.47436,2.55067,1.27859,1.17541,0.000577782,0.000577782,0.000577782
101,1325.26,0.83673,1.08767,0.5541,0.96586,0.81546,0.62236,0.6854,0.51933,0.81918,0.60277,0.65186,0.48731,1.46905,2.5794,1.33141,1.17332,0.00056678,0.00056678,0.00056678
102,1338.26,0.82973,1.09253,0.54718,0.96695,0.80698,0.61467,0.6908,0.52175,0.80652,0.58545,0.65457,0.49561,1.49188,2.55012,1.37841,1.18515,0.000555778,0.000555778,0.000555778
103,1350.7,0.82014,1.07617,0.54122,0.95987,0.82988,0.61516,0.68641,0.51976,0.8159,0.60355,0.65273,0.49066,1.46235,2.56625,1.2906,1.16588,0.000544776,0.000544776,0.000544776
104,1362.96,0.81534,1.0476,0.54195,0.95927,0.8346,0.61666,0.68462,0.52075,0.81565,0.60365,0.64691,0.48775,1.46137,2.58808,1.35213,1.16966,0.000533773,0.000533773,0.000533773
